eda,label
5.714267,1
5.743715,1
5.788526,1
5.84102,1
5.871747,1
5.887112,1
5.903756,1
5.908877,1
5.906316,1
5.903756,1
5.887112,1
5.876869,1
5.875588,1
5.865346,1
