x,y,z,distance,label
-8,-5,62,1.732050808,0
-9,-4,61,0,0
-9,-4,61,1,0
-9,-5,61,1,0
-9,-4,61,1.414213562,0
-8,-5,61,0,0
-8,-5,61,1,0
-9,-5,61,1,0
-9,-4,61,1,0
-9,-5,61,1,0
-8,-5,61,1,0
-9,-5,61,1,0
-9,-4,61,0,0
-9,-4,61,0,0
-9,-4,61,1,0
-9,-4,62,1,0
-9,-4,61,0,0
-9,-4,61,1,0
-9,-5,61,0,0
-9,-5,61,0,0
-9,-5,61,1,0
-9,-4,61,0,0
-9,-4,61,1,0
-9,-5,61,1,0
-9,-4,61,0,0
-9,-4,61,0,0
-9,-4,61,0,0
-9,-4,61,0,0
-9,-4,61,0,0
-9,-4,61,1,0
-8,-4,61,1.414213562,0
-9,-5,61,1.414213562,0
-8,-4,61,0,0
-8,-4,61,0,0
-8,-4,61,1,0
-9,-4,61,1,0
-9,-5,61,1,0
-9,-4,61,1.414213562,0
-8,-5,61,1,0
-8,-4,61,1,0
-8,-5,61,1,0
-8,-5,62,1,0
-8,-5,61,0,0
-8,-5,61,1,0
-9,-5,61,1,0
-9,-4,61,1.414213562,0
-8,-4,62,1.414213562,0
-8,-5,61,1.414213562,0
-8,-4,62,1.414213562,0
-9,-4,61,1.414213562,0
-8,-5,61,1.414213562,0
-8,-4,62,1,0
-8,-4,61,1.414213562,0
-8,-5,60,2.236067977,0
-8,-4,62,1.414213562,0
-8,-5,61,1,0
-8,-4,61,1.414213562,0
-9,-5,61,0,0
-9,-5,61,1.414213562,0
-9,-4,62,2.236067977,0
-9,-5,60,1.732050808,0
-8,-4,61,1.414213562,0
-7,-4,62,1,0
-6,-4,62,1,0
-7,-4,62,1.732050808,0
-8,-5,61,2.449489743,0
-7,-3,62,1.414213562,0
-7,-4,61,1.414213562,0
-6,-5,61,5.099019514,0
-11,-4,61,2,0
-9,-4,61,2.236067977,0
-7,-4,62,2,0
-5,-4,62,1.732050808,0
-4,-3,63,2.449489743,0
-6,-4,62,1.732050808,0
-7,-5,61,3.741657387,0
-4,-4,63,6.708203932,0
-10,-4,60,5.099019514,0
-15,-4,61,2.828427125,0
-15,-6,59,1.414213562,0
-14,-6,58,2,0
-12,-6,58,4.472135955,0
-10,-6,62,5.477225575,0
-5,-7,60,4,0
-1,-7,60,4.69041576,0
1,-4,63,3.741657387,0
2,-6,60,9.273618495,0
8,-1,65,4.123105626,0
6,-3,62,1,0
5,-3,62,2.236067977,0
5,-4,60,1.414213562,0
4,-4,61,7.348469228,0
11,-3,63,3.16227766,0
8,-3,62,3.16227766,0
5,-2,62,7.348469228,0
-2,-3,64,8.306623863,0
6,-5,63,4.69041576,0
3,-3,60,5.196152423,0
-2,-4,61,4.69041576,0
-5,-1,63,2.236067977,0
-5,-2,61,8.306623863,0
3,0,62,3.741657387,0
1,-3,63,2.236067977,0
2,-3,61,4.123105626,0
-2,-3,62,2.236067977,0
0,-2,62,2.236067977,0
-2,-3,62,2.236067977,0
0,-3,61,2.828427125,0
-2,-1,61,3.741657387,0
-5,-2,63,1.414213562,0
-4,-2,62,1.414213562,0
-5,-2,61,1.414213562,0
-5,-1,62,2.449489743,0
-7,-2,61,2,0
-5,-2,61,0,0
-5,-2,61,1,0
-5,-2,62,3,0
-7,-3,60,1.414213562,0
-6,-3,61,1.414213562,0
-7,-3,62,1.414213562,0
-7,-2,61,7.615773106,0
0,-2,64,2.236067977,0
1,-2,62,1.732050808,0
0,-1,63,7,0
-6,-3,60,4.123105626,0
-10,-3,59,3.605551275,0
-8,-3,62,1,0
-8,-2,62,0,0
-8,-2,62,2.449489743,0
-6,-3,61,3.741657387,0
-3,-1,62,10.09950494,0
-13,-2,61,6.164414003,0
-7,-3,62,4.123105626,0
-3,-2,62,16.40121947,0
-19,-4,59,5.385164807,0
-14,-2,59,3.16227766,0
-13,-2,62,3,0
-15,0,61,5.385164807,0
-19,-3,59,1,0
-19,-3,58,2,0
-17,-3,58,3.16227766,0
-16,-3,61,4.123105626,0
-20,-2,61,3,0
-18,-1,59,2.236067977,0
-19,-3,59,2.236067977,0
-19,-2,61,3.605551275,0
-17,-2,58,4.242640687,0
-14,-2,61,4.582575695,0
-18,-3,59,2,0
-20,-3,59,2.236067977,0
-18,-3,60,1.414213562,0
-19,-3,59,6.08276253,0
-25,-3,58,2.828427125,0
-27,-3,56,6.403124237,0
-33,-2,54,0,0
-33,-2,54,3.605551275,0
-31,-2,57,6.164414003,0
