bvp,label
10.5,0
8.7,0
6.26,0
3.27,0
-0.01,0
-3.36,0
-6.72,0
-10.2,0
-14.06,0
-18.55,0
-23.82,0
-29.81,0
-36.24,0
-42.5,0
-47.79,0
-51.2,0
-51.91,0
-49.48,0
-43.99,0
-36.05,0
-26.59,0
-16.59,0
-6.82,0
2.27,0
10.49,0
17.79,0
24.17,0
29.59,0
34.04,0
37.55,0
40.18,0
42.04,0
43.19,0
43.66,0
43.5,0
42.77,0
41.57,0
40.06,0
38.39,0
36.74,0
35.22,0
33.88,0
32.66,0
31.45,0
30.08,0
28.45,0
26.54,0
24.45,0
22.27,0
20.12,0
18.06,0
16.07,0
14.13,0
12.18,0
10.19,0
8.08,0
5.79,0
3.18,0
0.18,0
-3.19,0
-6.83,0
-10.62,0
-14.47,0
-18.43,0
-22.73,0
-27.65,0
-33.45,0
-40.16,0
-47.48,0
-54.77,0
-61.16,0
-65.69,0
-67.58,0
-66.31,0
-61.87,0
-54.64,0
-45.41,0
-35.17,0
-24.89,0
-15.28,0
-6.73,0
0.71,0
7.18,0
12.8,0
17.58,0
21.42,0
24.17,0
25.79,0
26.39,0
26.28,0
25.8,0
25.35,0
25.21,0
25.52,0
26.25,0
27.22,0
28.14,0
28.78,0
28.99,0
28.76,0
28.18,0
27.32,0
26.16,0
24.64,0
22.71,0
20.48,0
18.15,0
15.98,0
14.14,0
12.61,0
11.17,0
9.52,0
7.41,0
4.69,0
1.42,0
-2.21,0
-5.83,0
-9.11,0
-11.77,0
-13.77,0
-15.34,0
-16.9,0
-18.94,0
-21.79,0
-25.54,0
-29.86,0
-34.17,0
-37.71,0
-39.73,0
-39.62,0
-37.08,0
-32.2,0
-25.38,0
-17.33,0
-8.9,0
-0.87,0
6.15,0
11.83,0
16.06,0
18.93,0
20.63,0
21.43,0
21.53,0
21.13,0
20.39,0
19.45,0
18.45,0
17.53,0
16.82,0
16.42,0
16.4,0
16.78,0
17.52,0
18.49,0
19.5,0
20.26,0
20.46,0
19.83,0
18.25,0
15.82,0
12.82,0
9.63,0
6.51,0
3.64,0
1.02,0
-1.45,0
-3.82,0
-6.08,0
-8.17,0
-10.01,0
-11.58,0
-12.92,0
-14.17,0
-15.51,0
-17.22,0
-19.59,0
-22.88,0
-27.14,0
-32.11,0
-37.1,0
-41.13,0
-43.18,0
-42.53,0
-39.05,0
-33.11,0
-25.55,0
-17.27,0
-9.08,0
-1.52,0
5.12,0
10.69,0
15.2,0
18.65,0
21.12,0
22.64,0
23.24,0
22.96,0
21.85,0
20.09,0
17.95,0
15.8,0
13.99,0
12.78,0
12.3,0
12.53,0
13.39,0
14.73,0
16.36,0
18.02,0
19.31,0
19.78,0
19.1,0
17.16,0
14.22,0
10.78,0
7.37,0
4.37,0
1.84,0
-0.4,0
-2.66,0
-5.1,0
-7.75,0
-10.46,0
-13.05,0
-15.46,0
-17.78,0
-20.24,0
-23.08,0
-26.56,0
-30.79,0
-35.76,0
-41.22,0
-46.61,0
-51.11,0
-53.74,0
-53.64,0
-50.3,0
-43.86,0
-35.06,0
-25.1,0
-15.21,0
-6.37,0
1,0
6.96,0
11.83,0
15.98,0
19.62,0
22.81,0
25.54,0
27.82,0
29.71,0
31.29,0
32.6,0
33.6,0
34.2,0
34.32,0
34.04,0
33.54,0
33.03,0
32.71,0
32.65,0
32.73,0
32.68,0
32.18,0
30.9,0
28.72,0
25.7,0
22.11,0
18.37,0
14.94,0
12.09,0
9.92,0
8.25,0
6.69,0
4.83,0
2.37,0
-0.77,0
-4.34,0
-7.99,0
-11.32,0
-14.11,0
-16.38,0
-18.37,0
-20.51,0
-23.28,0
-27.02,0
-31.82,0
-37.41,0
-43.12,0
-47.94,0
-50.72,0
-50.54,0
-46.96,0
-40.25,0
-31.28,0
-21.26,0
-11.37,0
-2.48,0
5.02,0
11.16,0
16.18,0
20.37,0
23.92,0
26.89,0
29.18,0
30.68,0
31.31,0
31.11,0
30.27,0
29.1,0
27.93,0
26.98,0
26.34,0
25.95,0
25.7,0
25.51,0
25.36,0
25.19,0
24.85,0
24.17,0
22.93,0
21.06,0
18.64,0
15.9,0
13.06,0
10.24,0
7.48,0
4.71,0
1.91,0
-0.96,0
-3.91,0
-7,0
-10.24,0
-13.62,0
-17.02,0
-20.27,0
-23.27,0
-26.01,0
-28.8,0
-32.04,0
-36.09,0
-41,0
-46.41,0
-51.5,0
-55.24,0
-56.65,0
-55.08,0
-50.47,0
-43.28,0
-34.44,0
-25.02,0
-16.02,0
-8.15,0
-1.66,0
3.55,0
7.83,0
11.47,0
14.65,0
17.29,0
19.2,0
20.27,0
20.56,0
20.37,0
20.11,0
20.11,0
20.52,0
21.24,0
22.09,0
22.85,0
23.46,0
23.91,0
24.24,0
24.48,0
24.57,0
24.47,0
24.13,0
23.56,0
22.78,0
21.82,0
20.71,0
19.53,0
18.34,0
17.17,0
16.01,0
14.73,0
13.13,0
11.06,0
8.44,0
5.38,0
2.08,0
-1.18,0
-4.25,0
-7.1,0
-9.9,0
-12.97,0
-16.7,0
-21.49,0
-27.59,0
-34.94,0
-43.05,0
-51.01,0
-57.59,0
-61.62,0
-62.25,0
-59.2,0
-52.88,0
-44.19,0
-34.28,0
-24.19,0
-14.69,0
-6.16,0
1.34,0
7.82,0
13.35,0
17.95,0
21.65,0
24.5,0
26.6,0
28.1,0
29.11,0
29.72,0
30.02,0
30.13,0
30.26,0
30.66,0
31.46,0
32.65,0
34,0
35.19,0
35.92,0
36.02,0
35.49,0
34.43,0
33.02,0
31.39,0
29.58,0
27.6,0
25.37,0
22.86,0
20.03,0
16.92,0
13.61,0
10.14,0
6.6,0
3,0
-0.59,0
-4.1,0
-7.47,0
-10.67,0
-13.79,0
-17.02,0
-20.6,0
-24.71,0
-29.37,0
-34.48,0
-39.81,0
-45.13,0
-50.2,0
-54.75,0
-58.42,0
-60.77,0
-61.31,0
-59.67,0
-55.71,0
-49.65,0
-42,0
-33.49,0
-24.93,0
-16.97,0
-10.06,0
-4.35,0
0.18,0
3.71,0
6.57,0
9.11,0
11.71,0
14.64,0
17.92,0
21.22,0
23.88,0
25.16,0
24.61,0
22.46,0
19.59,0
17.27,0
16.48,0
17.62,0
20.24,0
